"",x,y,class,name,href,x_name,y_name,name_anchor,transform,color,stops
0,7.0,38.0,linea2,Cuatro Caminos,#clg-005fff,6.25,38.0,end,rotate(-45),#005fff,['0200L2-CUATROCAMIN']
1,13.0,38.0,linea2,Panteones,#clg-005fff,12.25,38.0,end,rotate(-45),#005fff,['0200L2-PANTEONES']
2,14.0,73.0,linea9,Observatorio,#clg-xf-ff9cce,12.5,73.0,end,,#ff9cce,['0200L1-OBSERVATORIO']
3,18.0,21.0,linea6,El Rosario,#clg-xf-ff0800,19.5,21.0,,,#ff0800,['0200L7-ELROSARIO' '0200L6-ELROSARIO']
4,18.0,26.0,linea7,Aquiles Serdan,#clg-ff8300,17.25,26.0,end,,#ff8300,['0200L7-AQUILESSERD']
5,18.0,29.0,linea7,Camarones,#clg-ff8300,17.25,29.0,end,,#ff8300,['0200L7-CAMARONES']
6,18.0,34.0,linea7,Refineria,#clg-ff8300,17.25,34.0,end,,#ff8300,['0200L7-REFINERIA']
7,18.0,38.0,linea2,Tacuba,#clg-xf-005fff,19.5,38.0,,rotate(-45),#005fff,['0200L7-TACUBA' '0200L2-TACUBA']
8,18.0,45.0,linea7,San Joaquín,#clg-ff8300,17.25,45.0,end,,#ff8300,['0200L7-SANJOAQUIN']
9,18.0,51.0,linea7,Polanco,#clg-ff8300,17.25,51.0,end,,#ff8300,['0200L7-POLANCO']
10,18.0,57.0,linea7,Auditorio,#clg-ff8300,17.25,57.0,end,,#ff8300,['0200L7-AUDITORIO']
11,18.0,63.0,linea7,Constituyentes,#clg-ff8300,17.25,63.0,end,,#ff8300,['0200L7-CONSTITUYENTES']
12,18.0,69.0,linea9,Tacubaya,#clg-xf-92535d,16.5,69.0,end,rotate(45),#92535d,['0200L9-TACUBAYA' '0200L7-TACUBAYA' '0200L1-TACUBAYA']
13,18.0,75.0,linea7,San Pedros de los Pinos,#clg-ff8300,18.75,75.0,,,#ff8300,['0200L7-SANPEDROPINOS']
14,18.0,79.0,linea7,San Antonio,#clg-ff8300,18.75,79.0,,,#ff8300,['0200L7-SANANTONIO']
15,18.0,83.0,linea12,Mixcoac,#clg-xf-fff0b5,16.5,83.0,end,,#fff0b5,['020L12-MIXCOAC' '0200L7-MIXCOAC']
16,18.0,87.0,linea7,Barranca del Muerto,#clg-ff8300,17.25,87.0,end,,#ff8300,['0200L7-BARRANCA']
17,21.0,24.0,linea6,Tezozomoc,#clg-ff0800,21.75,24.0,,,#ff0800,['0200L6-TEZOZOMOC']
18,21.0,41.0,linea2,Cuitlahuac,#clg-005fff,21.75,41.0,,,#005fff,['0200L2-CUITLAHUAC']
19,22.0,65.0,linea1,Juanacatlan,#clg-ff9cce,22.75,65.0,,,#ff9cce,['0200L1-JUANACATLAN']
20,24.0,44.0,lineaB,Popotla,#clg-005fff,25.5,44.0,,,#005fff,['0200L2-POPOTLA']
21,25.0,26.0,linea6,UAM Azcapotzalco,#clg-ff0800,20.25,25.0,end,rotate(-45),#ff0800,['0200L6-AZCAPOTZALCO']
22,25.0,62.0,linea1,Chapultepec,#clg-ff9cce,25.75,62.0,,,#ff9cce,['0200L1-CHAPULTEPEC']
23,26.0,69.0,linea9,Patriotismo,#clg-92535d,26.75,69.0,,rotate(45),#92535d,['0200L9-PATRIOTISMO']
24,26.0,83.0,linea12,Insurgentes Sur,#clg-fff0b5,26.75,83.0,,rotate(-45),#fff0b5,['020L12-INSURGENTESSUR']
25,27.0,47.0,linea2,Colegio Militar,#clg-005fff,26.25,47.0,end,rotate(-45),#005fff,['0200L2-COLMILITAR']
26,28.0,59.0,linea1,Sevilla,#clg-ff9cce,28.75,59.0,,,#ff9cce,['0200L1-SEVILLA']
27,29.0,26.0,linea6,Ferrería y Arena Ciudad de México,#clg-ff0800,29.75,25.5,,rotate(-45),#ff0800,['0200L6-FERRERIA']
28,31.0,47.0,linea2,Normal,#clg-005fff,30.25,47.0,end,rotate(-45),#005fff,['0200L2-NORMAL']
29,31.0,57.0,linea1,Insurgentes,#clg-ff9cce,31.75,57.0,,rotate(-45),#ff9cce,['0200L1-INSURGENTES']
30,34.0,26.0,linea6,Norte 45,#clg-ff0800,34.75,26.0,,rotate(-45),#ff0800,['0200L6-NORTE45']
31,35.0,47.0,linea2,San Cosme,#clg-005fff,34.25,47.0,end,rotate(-45),#005fff,['0200L2-SANCOSME']
32,35.0,69.0,linea9,Chilpancingo,#clg-92535d,35.75,69.0,,rotate(45),#92535d,['0200L9-CHILPANCINGO']
33,35.0,83.0,linea12,Hospital 20 de Noviembre,#clg-fff0b5,35.75,82.5,,rotate(-45),#fff0b5,['020L12-HOSPITAL20']
34,37.0,57.0,linea1,Cuauhtemoc,#clg-ff9cce,36.25,57.0,end,rotate(-45),#ff9cce,['0200L1-CUAUHTEMOC']
35,38.0,26.0,linea6,Vallejo,#clg-ff0800,38.75,26.0,,rotate(-45),#ff0800,['0200L6-VALLEJO']
36,38.0,43.0,lineaB,Buenavista,#clg-xf-a4a5a7,39.5,43.0,,rotate(-45),#a4a5a7,['0200LB-BUENAVISTA']
37,39.0,19.0,linea5,Politecnico,#clg-fff200,39.75,19.0,,,#fff200,['0200L5-POLITECNICO']
38,39.0,47.0,linea2,Revolucion,#clg-005fff,38.25,47.0,end,rotate(-45),#005fff,['0200L2-REVOLUCION']
39,44.0,26.0,linea5,Instituto del Petroleo,#clg-xf-fff200,45.5,26.0,,rotate(-45),#fff200,['0200L6-ITOPETROLEO' '0200L5-ITOPETROLEO']
40,45.0,38.0,linea3,Tlatelolco,#clg-a0c965,45.5,38.0,,,#a0c965,['0200L3-TLATELOLCO']
41,44.0,43.0,linea3,Guerrero,#clg-xf-a0c965,45.5,43.0,,rotate(-45),#a0c965,['0200LB-GUERRERO' '0200L3-GUERRERO']
42,44.0,47.0,linea3,Hidalgo,#clg-xf-a0c965,42.5,47.0,end,rotate(-45),#a0c965,['0200L3-HIDALGO' '0200L2-HIDALGO']
43,44.0,52.0,linea3,Juarez,#clg-a0c965,43.25,52.0,end,,#a0c965,[]
44,44.0,57.0,linea3,Balderas,#clg-xf-a0c965,45.5,57.0,,rotate(-45),#a0c965,['0200L3-BALDERAS' '0200L1-BALDERAS']
45,44.0,60.0,linea3,Ninos Heroes,#clg-a0c965,43.25,60.0,end,,#a0c965,[]
46,44.0,63.0,linea3,Hospital General,#clg-a0c965,43.25,63.0,end,,#a0c965,['0200L3-HOSPITALGRAL']
47,44.0,69.0,linea3,Centro Medico,#clg-xf-a0c965,45.5,69.0,,rotate(-45),#a0c965,['0200L9-CENTROMEDICO' '0200L3-CENTROMEDICO']
48,44.0,73.0,linea3,Etiopia,#clg-a0c965,44.75,73.0,,,#a0c965,[]
49,44.0,76.0,linea3,Eugenia,#clg-a0c965,44.75,76.0,,,#a0c965,['0200L3-EUGENIA']
50,44.0,79.0,linea3,Division del Norte,#clg-a0c965,44.75,79.0,,,#a0c965,['0200L3-DIVISIONNTE']
51,44.0,83.0,linea3,Zapata,#clg-xf-a0c965,45.5,83.0,,rotate(45),#a0c965,['020L12-ZAPATA' '0200L3-ZAPATA']
52,44.0,86.0,linea3,Coyoacan,#clg-a0c965,43.25,86.0,end,,#a0c965,['0200L3-COYOACAN']
53,44.0,89.0,linea3,Viveros - Derechos Humanos,#clg-a0c965,43.25,89.0,end,,#a0c965,['0200L3-VIVEROS']
54,44.0,92.0,linea3,Miguel Angel de Quevedo,#clg-a0c965,43.25,92.0,end,,#a0c965,['0200L3-MAQ']
55,44.0,95.0,linea3,Copilco,#clg-a0c965,43.25,95.0,end,,#a0c965,['0200L3-COPILCO']
56,44.0,98.0,linea3,Universidad,#clg-a0c965,43.25,98.0,end,,#a0c965,['0200L3-UNIVERSIDAD']
57,47.0,29.0,linea5,Autobuses del Norte,#clg-fff200,46.25,29.0,end,,#fff200,['0200L5-AUTOBUSESNTE']
58,50.0,26.0,linea6,Linda Vista,#clg-ff0800,50.75,26.0,,rotate(-45),#ff0800,['0200L6-LINDAVISTA']
59,50.5,32.5,linea5,La Raza,#clg-xf-fff200,49.0,32.5,end,,#fff200,['0200L5-LARAZA' '0200L3-LARAZA']
60,50.0,43.0,linea8,Garibaldi,#clg-xf-00be00,51.5,42.5,,rotate(-45),#00be00,[]
61,50.0,47.0,linea8,Bellas Artes,#clg-xf-00be00,48.5,47.0,end,rotate(-45),#00be00,['0200L8-BELLASARTES' '0200L2-BELLASARTES']
62,50.0,52.0,linea8,San Juan de Letran,#clg-00be00,50.75,52.0,,rotate(-45),#00be00,['0200L8-SANJUANLETRAN']
63,50.0,57.0,linea1,Salto del Agua,#clg-xf-ff9cce,51.5,57.0,,rotate(-45),#ff9cce,['0200L8-SALTOAGUA' '0200L1-SALTODELAGUA']
64,52.0,61.0,linea8,Doctores,#clg-00be00,51.25,61.0,end,,#00be00,['0200L8-DOCTORES']
65,52.0,69.0,linea9,Lazaro Cardenas,#clg-92535d,52.75,69.0,,rotate(45),#92535d,['0200L9-LAZAROCAR']
66,52.0,85.0,linea12,Parque de los Venados,#clg-fff0b5,51.25,85.0,end,rotate(-45),#fff0b5,['020L12-PARQUEVENADOS']
67,53.0,35.0,linea5,Misterios,#clg-fff200,54.5,35.0,,,#fff200,['0200L5-MISTERIOS']
68,55.0,17.0,linea3,Indios Verdes,#clg-xf-a0c965,56.5,17.0,,,#a0c965,['0200L3-INDIOSVERD']
69,55.0,26.0,linea3,Deportivo 18 de Marzo,#clg-xf-a0c965,56.5,26.0,,rotate(-45),#a0c965,['0200L6-DTVO18MARZO' '0200L3-DTVO18MARZO']
70,55.0,57.0,linea1,Isabel la Catolica,#clg-ff9cce,55.75,57.0,,rotate(-45),#ff9cce,['0200L1-ISABELLACA']
71,55.0,64.0,linea8,Obrera,#clg-00be00,55.75,64.0,,,#00be00,['0200L8-OBRERA']
72,55.0,88.0,linea12,Eje Central,#clg-fff0b5,54.25,88.0,end,rotate(-45),#fff0b5,['020L12-EJECENTRAL']
73,56.0,43.0,lineaB,Lagunilla,#clg-a4a5a7,57.0,43.0,,rotate(-45),#a4a5a7,['0200LB-LAGUNILLA']
74,56.0,49.0,linea2,Allende,#clg-005fff,56.75,49.0,,,#005fff,['0200L2-ALLENDE']
75,60.0,54.0,linea2,Zocalo Tenochtitlan,#clg-005fff,60.75,53.5,,,#005fff,[]
76,60.0,57.0,linea1,Pino Suarez,#clg-xf-ff9cce,58.5,57.0,end,rotate(-45),#ff9cce,['0200L2-PINOSUAREZ' '0200L1-PINOSUAREZ']
77,60.0,64.0,linea2,San Antonio Abad,#clg-005fff,60.75,64.0,,rotate(-45),#005fff,['0200L2-SANANTONIO']
78,60.0,69.0,linea8,Chabacano,#clg-xf-00be00,61.5,69.0,,rotate(-45),#00be00,['0200L9-CHABACANO' '0200L8-CHABACANO' '0200L2-CHABACANO']
79,60.0,74.0,linea2,Viaducto,#clg-005fff,60.75,74.0,,,#005fff,['0200L2-VIADUCTO']
80,60.0,77.0,linea2,Xola,#clg-005fff,59.25,77.0,end,,#005fff,['0200L2-XOLA']
81,60.0,80.0,linea2,Villa de Cortes,#clg-005fff,59.25,80.0,end,,#005fff,['0200L2-VILLADECORT']
82,60.0,83.0,linea2,Nativitas,#clg-005fff,59.25,83.0,end,,#005fff,['0200L2-NATIVITAS']
83,60.0,86.0,linea2,Portales,#clg-005fff,59.25,86.0,end,,#005fff,['0200L2-PORTALES']
84,60.0,89.0,linea12,Ermita,#clg-xf-fff0b5,61.5,89.0,,rotate(-45),#fff0b5,['020L12-ERMITA' '0200L2-ERMITA']
85,60.0,92.0,linea2,General Anaya,#clg-005fff,59.25,92.0,end,,#005fff,['0200L2-GRALANAYA']
86,60.0,95.0,linea2,Tasquena,#clg-005fff,59.25,95.0,end,,#005fff,['0200L2-TASQUENA']
87,62.0,37.0,linea5,Valle Gomez,#clg-fff200,62.75,37.0,,rotate(-45),#fff200,['0200L5-VALLEGOMEZ']
88,63.0,26.0,linea6,La Villa Basílica,#clg-ff0800,64.5,26.0,,rotate(-45),#ff0800,['0200L6-LAVILLA']
89,63.0,43.0,lineaB,Tepito,#clg-a4a5a7,62.25,43.0,end,rotate(-45),#a4a5a7,['0200LB-TEPITO']
90,63.0,72.0,linea8,La Viga,#clg-00be00,63.75,72.0,,,#00be00,['0200L8-LAVIGA']
91,65.0,56.0,linea1,Merced,#clg-ff9cce,65.75,56.0,,,#ff9cce,['0200L1-MERCED']
92,70.0,26.0,linea4,Martin Carrera,#clg-xf-8ae5bf,71.5,26.0,,rotate(-45),#8ae5bf,['0200L6-MARTINCARR' '0200L4-MARTINCARR']
93,70.0,29.0,linea4,Talisman,#clg-8ae5bf,70.75,29.0,,,#8ae5bf,['0200L4-TALISMAN']
94,70.0,32.0,linea4,Bondojito,#clg-8ae5bf,70.75,32.0,,,#8ae5bf,['0200L4-BONDOJITO']
95,70.0,37.0,linea5,Consulado,#clg-xf-fff200,68.5,37.0,end,rotate(-45),#fff200,['0200L5-CONSULADO' '0200L4-CONSULADO']
96,70.0,42.0,linea4,Canal del Norte,#clg-8ae5bf,70.75,42.0,,,#8ae5bf,['0200L4-CANALNTE']
97,70.0,47.0,lineaB,Morelos,#clg-xf-a4a5a7,68.5,47.0,end,,#a4a5a7,['0200LB-MORELOS' '0200L4-MORELOS']
98,70.0,51.0,linea1,Candelaria,#clg-xf-ff9cce,68.5,51.0,end,,#ff9cce,['0200L4-CANDELARIA' '0200L1-CANDELARIA']
99,70.0,61.0,linea4,Fray Servando,#clg-8ae5bf,70.75,61.0,,,#8ae5bf,['0200L4-FRAYSERVANDO']
100,70.0,69.0,linea4,Jamaica,#clg-xf-8ae5bf,71.5,69.0,,rotate(-45),#8ae5bf,['0200L9-JAMAICA' '0200L4-JAMAICA']
101,70.0,74.0,linea8,Santa Anita,#clg-xf-00be00,68.5,74.0,end,rotate(-45),#00be00,['0200L8-STAANITA' '0200L4-SNTAANITA']
102,70.0,89.0,linea12,Mexicaltzingo,#clg-fff0b5,68.5,89.0,end,rotate(-45),#fff0b5,['020L12-MEXICALTZINGO']
103,74.0,51.0,linea1,San Lazaro,#clg-xf-ff9cce,75.5,51.0,,rotate(-45),#ff9cce,['0200LB-SANLAZARO' '0200L1-SANLAZARO']
104,74.0,69.0,linea9,Mixiuhca,#clg-92535d,74.75,69.0,,rotate(-45),#92535d,['0200L9-MIXIUHCA']
105,75.0,77.0,linea8,Coyuya,#clg-00be00,75.75,77.0,,,#00be00,['0200L8-COYUYA']
106,75.0,80.0,linea8,Iztacalco,#clg-00be00,75.75,80.0,,,#00be00,['0200L8-IZTACALCO']
107,75.0,83.0,linea8,Apatlaco,#clg-00be00,75.75,83.0,,,#00be00,['0200L8-APATLACO']
108,75.0,86.0,linea8,Aculco,#clg-00be00,75.75,86.0,,,#00be00,['0200L8-ACULCO']
109,75.0,89.0,linea8,Escuadron 201,#clg-00be00,75.75,89.0,,,#00be00,['0200L8-ESCUADRON']
110,76.0,53.0,linea1,Moctezuma,#clg-ff9cce,75.25,53.0,end,,#ff9cce,['0200L1_MOCTEZUMA']
111,76.0,94.0,linea8,Atlalico,#clg-xf-00be00,77.5,94.0,,rotate(-45),#00be00,['020L12-ATLALILCO' '0200L8-ATLALILCO']
112,76.0,97.0,linea12,Culhuacan,#clg-fff0b5,76.75,97.0,,,#fff0b5,['020L12-CULHUACAN']
113,76.0,100.0,linea12,San Andres Tomatlan,#clg-fff0b5,76.75,100.0,,,#fff0b5,['020L12-SANANDRESTO']
114,77.0,38.0,linea5,Eduardo Molina,#clg-fff200,77.75,38.0,,,#fff200,['0200L5-EDUARDOMOLI']
115,77.0,51.0,lineaB,Ricardo Flores Magon,#clg-a4a5a7,77.75,50.5,,rotate(45),#a4a5a7,['0200LB-RFLORESMAGON']
116,78.0,69.0,linea9,Velodromo,#clg-92535d,77.25,69.0,end,rotate(-45),#92535d,['0200L9-VELODROMO']
117,78.0,102.0,linea12,Lomas Estrella,#clg-fff0b5,78.75,102.0,,,#fff0b5,['020L12-LOMASESTRELLA']
118,79.0,56.0,linea1,Balbuena,#clg-ff9cce,78.25,56.0,end,,#ff9cce,['0200L1-BALBUENA']
119,79.0,95.0,linea8,Itzapalapa,#clg-00be00,79.75,95.0,,rotate(-45),#00be00,['0200L8-IZTAPALAPA']
120,80.0,41.0,linea5,Aragón,#clg-fff200,80.75,41.0,,,#fff200,['0200L5-ARAGON']
121,80.0,59.0,linea1,Boulevard Puerto Aero,#clg-ff9cce,79.25,59.0,end,,#ff9cce,['0200L1-PTOAEREO']
122,81.0,48.0,lineaB,Romero Rubio,#clg-a4a5a7,81.75,48.0,,,#a4a5a7,['0200LB-ROMERORUBIO']
123,81.0,62.0,linea1,Gomez Farias,#clg-ff9cce,81.75,62.0,,,#ff9cce,[]
124,81.0,103.0,linea12,Calle 11,#clg-fff0b5,80.25,103.0,end,rotate(-45),#fff0b5,['020L12-CALLE11']
125,82.0,69.0,linea9,Ciudad Deportiva,#clg-92535d,81.25,69.0,end,rotate(-45),#92535d,['0200L9-CIUDADDVA']
126,82.0,95.0,linea8,Cerro de la Estrella,#clg-00be00,82.75,95.0,,rotate(-45),#00be00,['0200L8-CERROESTRELLA']
127,83.0,64.0,linea1,Zaragoza,#clg-ff9cce,82.25,64.0,end,,#ff9cce,['0200L1-ZARAGOZA']
128,84.0,45.0,lineaB,Oceania,#clg-xf-a4a5a7,85.5,45.0,,,#a4a5a7,['0200LB-OCEANIA' '0200L5-OCEANIA']
129,84.0,103.0,linea12,Periferico Oeste,#clg-fff0b5,84.75,103.0,,,#fff0b5,[]
130,85.0,68.0,linea9,Puebla,#clg-92535d,85.75,68.0,,,#92535d,['0200L9-PUEBLA']
131,85.0,95.0,linea8,UAAaa-I,#clg-00be00,85.75,95.0,,rotate(-45),#00be00,['0200L8-UAM-I']
132,86.0,105.0,linea12,Tezonco,#clg-fff0b5,86.75,105.0,,,#fff0b5,['020L12-TEZONCO']
133,87.0,42.0,lineaB,Deportivo Oceania,#clg-a4a5a7,87.75,42.0,,,#a4a5a7,['0200LB-DPVOOCEANIA']
134,88.0,12.0,lineaB,Ciudad Azteca,#clg-a4a5a7,88.75,12.0,,,#a4a5a7,['0200LB-CIUDADAZTECA']
135,88.0,15.0,lineaB,Plaza Aragon,#clg-a4a5a7,88.75,15.0,,,#a4a5a7,['0200LB-PLAZAARAGON']
136,88.0,18.0,lineaB,Olimpica,#clg-a4a5a7,88.75,18.0,,,#a4a5a7,['0200LB-OLIMPICA']
137,88.0,21.0,lineaB,Ecatepec,#clg-a4a5a7,88.75,21.0,,,#a4a5a7,['0200LB-ECATEPEC']
138,88.0,24.0,lineaB,Muzquiz,#clg-a4a5a7,88.75,24.0,,,#a4a5a7,['0200LB-MUZQUIZ']
139,88.0,27.0,lineaB,Rio de los Remedios,#clg-a4a5a7,88.75,27.0,,,#a4a5a7,['0200LB-RIOREMEDIOS']
140,88.0,30.0,lineaB,Impulsora,#clg-a4a5a7,88.75,30.0,,,#a4a5a7,['0200LB-IMPULSORA']
141,88.0,33.0,lineaB,Nezahualcoyotl,#clg-a4a5a7,88.75,33.0,,,#a4a5a7,['0200LB-NEZAHUALCO']
142,88.0,36.0,lineaB,Villa de Aragón,#clg-a4a5a7,88.75,36.0,,,#a4a5a7,['0200LB-VILLAARAGON']
143,88.0,39.0,lineaB,Bosque de Aragon,#clg-a4a5a7,88.75,39.0,,,#a4a5a7,['0200LB-BOSQUEARAGON']
144,88.0,53.0,linea5,Terminal Aerea,#clg-fff200,88.75,53.0,,,#fff200,['0200L5-TNALAEREA']
145,88.0,59.0,linea5,Hangares,#clg-fff200,88.75,59.0,,,#fff200,['0200L5-HANGARES']
146,88.0,65.0,lineaA,Pantitlán,#clg-xf-d6297d,89.5,65.0,,,#d6297d,"['0200LA-PANTITLAN' '0200L9-PANTITLAN' '0200L5-PANTITLAN' '0200L1-PANTITLAN']"
147,88.0,95.0,linea8,Constitucion de 1917,#clg-00be00,88.75,95.0,,,#00be00,['0200L8-CONST1917']
148,88.0,107.0,linea12,Olivos,#clg-fff0b5,88.75,107.0,,,#fff0b5,['020L12-OLIVOS']
149,90.0,109.0,linea12,Nopalera,#clg-fff0b5,90.75,109.0,,,#fff0b5,['020L12-NOPALERA']
150,91.0,69.0,lineaA,Agricola Oriental,#clg-d6297d,91.75,69.0,,,#d6297d,['0200LA-AGRICOLA']
151,91.0,72.0,lineaA,Canal de San Juan,#clg-d6297d,91.75,72.0,,,#d6297d,['0200LA-CANALSANJUAN']
152,91.0,75.0,lineaA,Tepalcates,#clg-d6297d,91.75,75.0,,,#d6297d,['0200LA-TEPALCATES']
153,91.0,78.0,lineaA,Guelatao,#clg-d6297d,91.75,78.0,,,#d6297d,['0200LA-GUELATAO']
154,91.0,81.0,lineaA,Penon Viejo,#clg-d6297d,91.75,81.0,,,#d6297d,['0200LA-PENONVIEJO']
155,91.0,84.0,lineaA,Acatitla,#clg-d6297d,91.75,84.0,,,#d6297d,['0200LA-ACATITLA']
156,91.0,87.0,lineaA,Santa Marta,#clg-d6297d,92.5,87.0,,,#d6297d,['0200LA-STAMARTA']
157,92.0,90.0,lineaA,Los Reyes,#clg-d6297d,92.75,90.0,,,#d6297d,['0200LA-LOSREYES']
158,92.0,111.0,linea12,Zapotitlan,#clg-fff0b5,92.75,111.0,,,#fff0b5,['020L12-ZAPOTITLAN']
159,94.0,92.0,lineaA,La Paz,#clg-d6297d,94.75,92.0,,,#d6297d,['0200LA-LAPAZ']
160,94.0,113.0,linea12,Tlaltenco,#clg-fff0b5,94.75,113.0,,,#fff0b5,['020L12-TLALTENCO']
161,96.0,115.0,linea12,Tlahuac,#clg-fff0b5,96.75,115.0,,,#fff0b5,['020L12-TLAHUAC']
162,53.5,29.5,linea3,Potrero,,55,29.5,,rotate(-45),#a0c965,[]